method,bits,BPT,bits_per_byte,tokens
FP16,16,4.268797073115052,0.9558357636387881,50176
symmetric,8,4.82481661833011,1.0803353258095671,50176
symmetric,4,16.892321175510794,3.7823968752498387,50176
symmetric,3,16.04998232988972,3.5937869273051115,50176
