model,arch,matrix,shape,n_bits,cosine,mse
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(6144, 2048)",4,0.9049635558889987,0.002265578
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(6144, 2048)",3,0.6252160069730933,0.007835249
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(6144, 2048)",2,0.03660716024324013,0.010835079
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.dense.weight,"(2048, 2048)",8,0.9988838805322422,1.1123839e-05
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.dense.weight,"(2048, 2048)",6,0.9816698503262442,0.00018356928
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.dense.weight,"(2048, 2048)",5,0.929014329668798,0.000797882
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.dense.weight,"(2048, 2048)",4,0.7172435797587742,0.0030844838
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.dense.weight,"(2048, 2048)",3,0.19366100877202166,0.00485113
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.attention.dense.weight,"(2048, 2048)",2,0.08846129973257368,0.004925616
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(8192, 2048)",8,0.9999022867394104,1.6045864e-06
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(8192, 2048)",6,0.9984789445620771,2.6842801e-05
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(8192, 2048)",5,0.9933840965819545,0.00011474262
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(8192, 2048)",4,0.970549952155395,0.00053469714
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(8192, 2048)",3,0.8647060028765493,0.0028393725
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(8192, 2048)",2,0.17372738118018763,0.008500308
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(2048, 8192)",8,0.9989658020632051,3.51868e-05
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(2048, 8192)",6,0.9831385096842138,0.0005899422
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(2048, 8192)",5,0.9334747790859628,0.0024995916
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(2048, 8192)",4,0.7363803537340708,0.010274671
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(2048, 8192)",3,0.13054601845287733,0.016895847
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(2048, 8192)",2,0.007279324024655817,0.017085686
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(6144, 2048)",8,0.999200623309147,1.8328394e-05
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(6144, 2048)",6,0.9866623431791479,0.0003104774
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(6144, 2048)",5,0.9465209574800111,0.0013128893
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(6144, 2048)",4,0.7973345667806208,0.005134469
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(6144, 2048)",3,0.3298562937824533,0.01065207
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(6144, 2048)",2,0.012894869001413695,0.011550133
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.dense.weight,"(2048, 2048)",8,0.9994015455643448,5.988187e-06
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.dense.weight,"(2048, 2048)",6,0.990020440676283,0.00010064664
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.dense.weight,"(2048, 2048)",5,0.9593324994224462,0.00042976532
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.dense.weight,"(2048, 2048)",4,0.8386862245954981,0.0019338093
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.dense.weight,"(2048, 2048)",3,0.30995567927818046,0.004772385
EleutherAI/pythia-1.4b,transformer,gpt_neox.layers.1.attention.dense.weight,"(2048, 2048)",2,0.04793686693794575,0.0049325638
gpt2-medium,transformer,transformer.h.0.mlp.c_fc.weight,"(1024, 4096)",8,0.9991970764588628,0.0006902708
gpt2-medium,transformer,transformer.h.0.mlp.c_fc.weight,"(1024, 4096)",6,0.9866168041207675,0.011398239
gpt2-medium,transformer,transformer.h.0.mlp.c_fc.weight,"(1024, 4096)",5,0.947072688877256,0.04856079
gpt2-medium,transformer,transformer.h.0.mlp.c_fc.weight,"(1024, 4096)",4,0.7957669280818869,0.2067537
gpt2-medium,transformer,transformer.h.0.mlp.c_fc.weight,"(1024, 4096)",3,0.23364975377971084,0.41974312
gpt2-medium,transformer,transformer.h.0.mlp.c_fc.weight,"(1024, 4096)",2,0.03014008604785409,0.42744136
